Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.5068,0.6667,0.5758,225
Decision Trees (LightGBM),chemical,0.9181,0.9467,0.9322,225
Decision Trees (LightGBM),electric,0.441,0.3156,0.3679,225
Decision Trees (LightGBM),impulsive,0.6493,0.6089,0.6284,225
Decision Trees (LightGBM),macro_avg,0.6288,0.6344,0.6261,900
Decision Trees (LightGBM),weighted_avg,0.6288,0.6344,0.6261,900
Decision Trees (LightGBM),t_no_thrust,150.0,4.0,43.0,28
Decision Trees (LightGBM),t_chemical,0.0,213.0,1.0,11
Decision Trees (LightGBM),t_electric,115.0,4.0,71.0,35
Decision Trees (LightGBM),t_impulsive,31.0,11.0,46.0,137
MiniRocket,no_thrust,0.7797,0.9911,0.8728,225
MiniRocket,chemical,1.0,0.9778,0.9888,225
MiniRocket,electric,0.9881,0.7378,0.8448,225
MiniRocket,impulsive,0.9779,0.9822,0.98,225
MiniRocket,macro_avg,0.9364,0.9222,0.9216,900
MiniRocket,weighted_avg,0.9364,0.9222,0.9216,900
MiniRocket,t_no_thrust,223.0,0.0,2.0,0
MiniRocket,t_chemical,0.0,220.0,0.0,5
MiniRocket,t_electric,59.0,0.0,166.0,0
MiniRocket,t_impulsive,4.0,0.0,0.0,221
LSTM,no_thrust,0.7695,0.8756,0.8191,225
LSTM,chemical,1.0,0.9956,0.9978,225
LSTM,electric,0.8601,0.7378,0.7943,225
LSTM,impulsive,0.978,0.9867,0.9823,225
LSTM,macro_avg,0.9019,0.8989,0.8984,900
LSTM,weighted_avg,0.9019,0.8989,0.8984,900
LSTM,t_no_thrust,197.0,0.0,26.0,2
LSTM,t_chemical,0.0,224.0,0.0,1
LSTM,t_electric,57.0,0.0,166.0,2
LSTM,t_impulsive,2.0,0.0,1.0,222
Mamba,no_thrust,0.5,0.4311,0.463,225
Mamba,chemical,0.9075,0.9156,0.9115,225
Mamba,electric,0.3805,0.3467,0.3628,225
Mamba,impulsive,0.5474,0.6667,0.6012,225
Mamba,macro_avg,0.5839,0.59,0.5846,900
Mamba,weighted_avg,0.5839,0.59,0.5846,900
Mamba,t_no_thrust,97.0,3.0,84.0,41
Mamba,t_chemical,1.0,206.0,1.0,17
Mamba,t_electric,75.0,6.0,78.0,66
Mamba,t_impulsive,21.0,12.0,42.0,150
Transformer,no_thrust,0.8182,0.96,0.8834,225
Transformer,chemical,1.0,1.0,1.0,225
Transformer,electric,0.9516,0.7867,0.8613,225
Transformer,impulsive,1.0,1.0,1.0,225
Transformer,macro_avg,0.9424,0.9367,0.9362,900
Transformer,weighted_avg,0.9424,0.9367,0.9362,900
Transformer,t_no_thrust,216.0,0.0,9.0,0
Transformer,t_chemical,0.0,225.0,0.0,0
Transformer,t_electric,48.0,0.0,177.0,0
Transformer,t_impulsive,0.0,0.0,0.0,225
1D-CNN (InceptionTime),no_thrust,0.8427,0.9289,0.8837,225
1D-CNN (InceptionTime),chemical,0.9911,0.9911,0.9911,225
1D-CNN (InceptionTime),electric,0.9212,0.8311,0.8738,225
1D-CNN (InceptionTime),impulsive,0.9911,0.9867,0.9889,225
1D-CNN (InceptionTime),macro_avg,0.9365,0.9344,0.9344,900
1D-CNN (InceptionTime),weighted_avg,0.9365,0.9344,0.9344,900
1D-CNN (InceptionTime),t_no_thrust,209.0,0.0,16.0,0
1D-CNN (InceptionTime),t_chemical,0.0,223.0,0.0,2
1D-CNN (InceptionTime),t_electric,38.0,0.0,187.0,0
1D-CNN (InceptionTime),t_impulsive,1.0,2.0,0.0,222
