Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.2483,0.32,0.2796,225
Decision Trees (LightGBM),chemical,0.2475,0.2178,0.2317,225
Decision Trees (LightGBM),electric,0.2542,0.2,0.2239,225
Decision Trees (LightGBM),impulsive,0.2553,0.2667,0.2609,225
Decision Trees (LightGBM),macro_avg,0.2513,0.2511,0.249,900
Decision Trees (LightGBM),weighted_avg,0.2513,0.2511,0.249,900
Decision Trees (LightGBM),t_no_thrust,72.0,50.0,45.0,58
Decision Trees (LightGBM),t_chemical,74.0,49.0,43.0,59
Decision Trees (LightGBM),t_electric,72.0,50.0,45.0,58
Decision Trees (LightGBM),t_impulsive,72.0,49.0,44.0,60
MiniRocket,no_thrust,0.2472,0.1956,0.2184,225
MiniRocket,chemical,0.2639,0.3156,0.2874,225
MiniRocket,electric,0.25,0.1733,0.2047,225
MiniRocket,impulsive,0.2424,0.32,0.2759,225
MiniRocket,macro_avg,0.2509,0.2511,0.2466,900
MiniRocket,weighted_avg,0.2509,0.2511,0.2466,900
MiniRocket,t_no_thrust,44.0,64.0,40.0,77
MiniRocket,t_chemical,45.0,71.0,37.0,72
MiniRocket,t_electric,44.0,66.0,39.0,76
MiniRocket,t_impulsive,45.0,68.0,40.0,72
LSTM,no_thrust,0.0,0.0,0.0,225
LSTM,chemical,0.0,0.0,0.0,225
LSTM,electric,0.0,0.0,0.0,225
LSTM,impulsive,0.25,1.0,0.4,225
LSTM,macro_avg,0.0625,0.25,0.1,900
LSTM,weighted_avg,0.0625,0.25,0.1,900
LSTM,t_no_thrust,0.0,0.0,0.0,225
LSTM,t_chemical,0.0,0.0,0.0,225
LSTM,t_electric,0.0,0.0,0.0,225
LSTM,t_impulsive,0.0,0.0,0.0,225
Mamba,no_thrust,0.25,0.3022,0.2736,225
Mamba,chemical,0.25,0.1511,0.1884,225
Mamba,electric,0.25,0.4178,0.3128,225
Mamba,impulsive,0.25,0.1289,0.1701,225
Mamba,macro_avg,0.25,0.25,0.2362,900
Mamba,weighted_avg,0.25,0.25,0.2362,900
Mamba,t_no_thrust,68.0,34.0,94.0,29
Mamba,t_chemical,68.0,34.0,94.0,29
Mamba,t_electric,68.0,34.0,94.0,29
Mamba,t_impulsive,68.0,34.0,94.0,29
Transformer,no_thrust,0.0,0.0,0.0,225
Transformer,chemical,0.0,0.0,0.0,225
Transformer,electric,0.25,0.9911,0.3993,225
Transformer,impulsive,0.25,0.0089,0.0172,225
Transformer,macro_avg,0.125,0.25,0.1041,900
Transformer,weighted_avg,0.125,0.25,0.1041,900
Transformer,t_no_thrust,0.0,0.0,223.0,2
Transformer,t_chemical,0.0,0.0,223.0,2
Transformer,t_electric,0.0,0.0,223.0,2
Transformer,t_impulsive,0.0,0.0,223.0,2
1D-CNN (InceptionTime),no_thrust,0.25,0.0356,0.0623,225
1D-CNN (InceptionTime),chemical,0.25,0.8667,0.3881,225
1D-CNN (InceptionTime),electric,0.25,0.0978,0.1406,225
1D-CNN (InceptionTime),impulsive,0.0,0.0,0.0,225
1D-CNN (InceptionTime),macro_avg,0.1875,0.25,0.1477,900
1D-CNN (InceptionTime),weighted_avg,0.1875,0.25,0.1477,900
1D-CNN (InceptionTime),t_no_thrust,8.0,195.0,22.0,0
1D-CNN (InceptionTime),t_chemical,8.0,195.0,22.0,0
1D-CNN (InceptionTime),t_electric,8.0,195.0,22.0,0
1D-CNN (InceptionTime),t_impulsive,8.0,195.0,22.0,0
