Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.2454,0.2933,0.2672,225
Decision Trees (LightGBM),chemical,0.2447,0.2044,0.2228,225
Decision Trees (LightGBM),electric,0.2522,0.2533,0.2528,225
Decision Trees (LightGBM),impulsive,0.2535,0.2444,0.2489,225
Decision Trees (LightGBM),macro_avg,0.2489,0.2489,0.2479,900
Decision Trees (LightGBM),weighted_avg,0.2489,0.2489,0.2479,900
Decision Trees (LightGBM),t_no_thrust,66.0,48.0,57.0,54
Decision Trees (LightGBM),t_chemical,69.0,46.0,56.0,54
Decision Trees (LightGBM),t_electric,66.0,48.0,57.0,54
Decision Trees (LightGBM),t_impulsive,68.0,46.0,56.0,55
MiniRocket,no_thrust,0.2426,0.1822,0.2081,225
MiniRocket,chemical,0.2584,0.4089,0.3167,225
MiniRocket,electric,0.2595,0.1511,0.191,225
MiniRocket,impulsive,0.2582,0.28,0.2687,225
MiniRocket,macro_avg,0.2547,0.2556,0.2461,900
MiniRocket,weighted_avg,0.2547,0.2556,0.2461,900
MiniRocket,t_no_thrust,41.0,89.0,34.0,61
MiniRocket,t_chemical,41.0,92.0,31.0,61
MiniRocket,t_electric,42.0,90.0,34.0,59
MiniRocket,t_impulsive,45.0,85.0,32.0,63
LSTM,no_thrust,0.0,0.0,0.0,225
LSTM,chemical,0.0,0.0,0.0,225
LSTM,electric,0.25,0.0044,0.0087,225
LSTM,impulsive,0.25,0.9956,0.3996,225
LSTM,macro_avg,0.125,0.25,0.1021,900
LSTM,weighted_avg,0.125,0.25,0.1021,900
LSTM,t_no_thrust,0.0,0.0,1.0,224
LSTM,t_chemical,0.0,0.0,1.0,224
LSTM,t_electric,0.0,0.0,1.0,224
LSTM,t_impulsive,0.0,0.0,1.0,224
Mamba,no_thrust,0.25,0.1689,0.2016,225
Mamba,chemical,0.25,0.3956,0.3064,225
Mamba,electric,0.25,0.1156,0.1581,225
Mamba,impulsive,0.25,0.32,0.2807,225
Mamba,macro_avg,0.25,0.25,0.2367,900
Mamba,weighted_avg,0.25,0.25,0.2367,900
Mamba,t_no_thrust,38.0,89.0,26.0,72
Mamba,t_chemical,38.0,89.0,26.0,72
Mamba,t_electric,38.0,89.0,26.0,72
Mamba,t_impulsive,38.0,89.0,26.0,72
Transformer,no_thrust,0.25,1.0,0.4,225
Transformer,chemical,0.0,0.0,0.0,225
Transformer,electric,0.0,0.0,0.0,225
Transformer,impulsive,0.0,0.0,0.0,225
Transformer,macro_avg,0.0625,0.25,0.1,900
Transformer,weighted_avg,0.0625,0.25,0.1,900
Transformer,t_no_thrust,225.0,0.0,0.0,0
Transformer,t_chemical,225.0,0.0,0.0,0
Transformer,t_electric,225.0,0.0,0.0,0
Transformer,t_impulsive,225.0,0.0,0.0,0
1D-CNN (InceptionTime),no_thrust,0.25,0.6489,0.3609,225
1D-CNN (InceptionTime),chemical,0.0,0.0,0.0,225
1D-CNN (InceptionTime),electric,0.25,0.3511,0.2921,225
1D-CNN (InceptionTime),impulsive,0.0,0.0,0.0,225
1D-CNN (InceptionTime),macro_avg,0.125,0.25,0.1632,900
1D-CNN (InceptionTime),weighted_avg,0.125,0.25,0.1632,900
1D-CNN (InceptionTime),t_no_thrust,146.0,0.0,79.0,0
1D-CNN (InceptionTime),t_chemical,146.0,0.0,79.0,0
1D-CNN (InceptionTime),t_electric,146.0,0.0,79.0,0
1D-CNN (InceptionTime),t_impulsive,146.0,0.0,79.0,0
