Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.2527,0.3156,0.2806,225
Decision Trees (LightGBM),chemical,0.2453,0.1733,0.2031,225
Decision Trees (LightGBM),electric,0.25,0.24,0.2449,225
Decision Trees (LightGBM),impulsive,0.2541,0.2756,0.2644,225
Decision Trees (LightGBM),macro_avg,0.2505,0.2511,0.2483,900
Decision Trees (LightGBM),weighted_avg,0.2505,0.2511,0.2483,900
Decision Trees (LightGBM),t_no_thrust,71.0,40.0,53.0,61
Decision Trees (LightGBM),t_chemical,71.0,39.0,55.0,60
Decision Trees (LightGBM),t_electric,70.0,40.0,54.0,61
Decision Trees (LightGBM),t_impulsive,69.0,40.0,54.0,62
MiniRocket,no_thrust,0.2791,0.2133,0.2418,225
MiniRocket,chemical,0.2421,0.2044,0.2217,225
MiniRocket,electric,0.2727,0.1733,0.212,225
MiniRocket,impulsive,0.3418,0.6,0.4355,225
MiniRocket,macro_avg,0.2839,0.2978,0.2777,900
MiniRocket,weighted_avg,0.2839,0.2978,0.2777,900
MiniRocket,t_no_thrust,48.0,53.0,39.0,85
MiniRocket,t_chemical,47.0,46.0,42.0,90
MiniRocket,t_electric,48.0,53.0,39.0,85
MiniRocket,t_impulsive,29.0,38.0,23.0,135
LSTM,no_thrust,0.0,0.0,0.0,225
LSTM,chemical,0.0,0.0,0.0,225
LSTM,electric,0.0,0.0,0.0,225
LSTM,impulsive,0.25,1.0,0.4,225
LSTM,macro_avg,0.0625,0.25,0.1,900
LSTM,weighted_avg,0.0625,0.25,0.1,900
LSTM,t_no_thrust,0.0,0.0,0.0,225
LSTM,t_chemical,0.0,0.0,0.0,225
LSTM,t_electric,0.0,0.0,0.0,225
LSTM,t_impulsive,0.0,0.0,0.0,225
Mamba,no_thrust,0.25,0.1867,0.2137,225
Mamba,chemical,0.25,0.2889,0.268,225
Mamba,electric,0.25,0.0667,0.1053,225
Mamba,impulsive,0.25,0.4578,0.3234,225
Mamba,macro_avg,0.25,0.25,0.2276,900
Mamba,weighted_avg,0.25,0.25,0.2276,900
Mamba,t_no_thrust,42.0,65.0,15.0,103
Mamba,t_chemical,42.0,65.0,15.0,103
Mamba,t_electric,42.0,65.0,15.0,103
Mamba,t_impulsive,42.0,65.0,15.0,103
Transformer,no_thrust,0.0,0.0,0.0,225
Transformer,chemical,0.0,0.0,0.0,225
Transformer,electric,0.25,1.0,0.4,225
Transformer,impulsive,0.0,0.0,0.0,225
Transformer,macro_avg,0.0625,0.25,0.1,900
Transformer,weighted_avg,0.0625,0.25,0.1,900
Transformer,t_no_thrust,0.0,0.0,225.0,0
Transformer,t_chemical,0.0,0.0,225.0,0
Transformer,t_electric,0.0,0.0,225.0,0
Transformer,t_impulsive,0.0,0.0,225.0,0
1D-CNN (InceptionTime),no_thrust,0.0,0.0,0.0,225
1D-CNN (InceptionTime),chemical,0.0,0.0,0.0,225
1D-CNN (InceptionTime),electric,0.25,0.5022,0.3338,225
1D-CNN (InceptionTime),impulsive,0.25,0.4978,0.3328,225
1D-CNN (InceptionTime),macro_avg,0.125,0.25,0.1667,900
1D-CNN (InceptionTime),weighted_avg,0.125,0.25,0.1667,900
1D-CNN (InceptionTime),t_no_thrust,0.0,0.0,113.0,112
1D-CNN (InceptionTime),t_chemical,0.0,0.0,113.0,112
1D-CNN (InceptionTime),t_electric,0.0,0.0,113.0,112
1D-CNN (InceptionTime),t_impulsive,0.0,0.0,113.0,112
