Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,0.9471,53.67
LSTM,2,0.8744,56.0
LSTM,3,0.7979,61.33
LSTM,4,0.6294,74.22
LSTM,5,0.5628,76.33
LSTM,6,0.9628,60.67
LSTM,7,0.6267,72.78
LSTM,8,0.5744,76.22
LSTM,9,0.5081,79.44
LSTM,10,0.4543,80.44
LSTM,11,0.5773,76.11
LSTM,12,0.4106,82.89
LSTM,13,0.9311,57.56
LSTM,14,0.6801,71.33
LSTM,15,0.6221,73.0
LSTM,16,0.4524,82.11
LSTM,17,0.4004,84.78
LSTM,18,1.4086,49.44
LSTM,19,0.6725,69.0
LSTM,20,0.5593,74.56
LSTM,21,0.5168,75.33
LSTM,22,0.5897,74.56
LSTM,23,0.4909,78.89
LSTM,24,0.438,81.67
LSTM,25,0.4276,82.33
LSTM,26,0.3978,83.0
LSTM,27,0.401,83.22
LSTM,28,0.3582,83.44
LSTM,29,0.3222,87.22
LSTM,30,0.3196,85.89
LSTM,31,0.5311,83.22
LSTM,32,0.425,81.33
LSTM,33,0.3904,83.67
LSTM,34,0.5297,81.89
LSTM,35,0.3148,86.78
LSTM,36,0.3296,86.22
LSTM,37,0.3211,85.56
LSTM,38,0.3022,86.11
LSTM,39,1.9493,62.78
LSTM,40,0.405,83.0
LSTM,41,0.3094,86.78
LSTM,42,0.2968,87.56
LSTM,43,0.2814,87.56
LSTM,44,0.4474,82.33
LSTM,45,0.3316,85.56
LSTM,46,0.3343,86.44
LSTM,47,0.2937,87.22
LSTM,48,0.2872,86.89
LSTM,49,0.2955,87.11
LSTM,50,0.248,89.56
LSTM,51,0.2484,88.56
LSTM,52,0.2449,89.89
LSTM,53,0.2386,89.67
LSTM,54,0.2623,88.78
LSTM,55,0.2885,88.89
LSTM,56,0.2389,90.67
LSTM,57,0.2148,90.89
LSTM,58,0.2064,91.33
LSTM,59,0.2024,91.33
LSTM,60,0.1972,92.44
LSTM,61,0.2049,91.22
LSTM,62,0.1808,92.78
LSTM,63,0.1885,92.22
LSTM,64,0.1549,94.22
LSTM,65,0.1904,93.11
LSTM,66,0.1478,94.56
LSTM,67,0.1333,94.89
LSTM,68,0.1396,95.0
LSTM,69,0.2007,93.11
