Model,label,precision,recall,f1,support
Decision Trees,no_thrust,0.349,0.4188,0.3807,160
Decision Trees,chemical,0.4965,0.4437,0.4686,160
Decision Trees,electric,0.4138,0.375,0.3934,160
Decision Trees,impulsive,1.0,1.0,1.0,160
Decision Trees,macro_avg,0.5648,0.5594,0.5607,640
Decision Trees,weighted_avg,0.5648,0.5594,0.5607,640
Decision Trees,t_no_thrust,67.0,38.0,55.0,0
Decision Trees,t_chemical,59.0,71.0,30.0,0
Decision Trees,t_electric,66.0,34.0,60.0,0
Decision Trees,t_impulsive,0.0,0.0,0.0,160
Nearest Neighbor,no_thrust,0.3649,0.3375,0.3506,160
Nearest Neighbor,chemical,0.2967,0.3375,0.3158,160
Nearest Neighbor,electric,0.3406,0.2938,0.3154,160
Nearest Neighbor,impulsive,0.657,0.7063,0.6807,160
Nearest Neighbor,macro_avg,0.4148,0.4188,0.4156,640
Nearest Neighbor,weighted_avg,0.4148,0.4188,0.4156,640
Nearest Neighbor,t_no_thrust,54.0,45.0,50.0,11
Nearest Neighbor,t_chemical,41.0,54.0,36.0,29
Nearest Neighbor,t_electric,43.0,51.0,47.0,19
Nearest Neighbor,t_impulsive,10.0,32.0,5.0,113
LSTM,no_thrust,0.1429,0.0063,0.012,160
LSTM,chemical,0.5643,0.4938,0.5267,160
LSTM,electric,0.3982,0.8187,0.5358,160
LSTM,impulsive,0.9756,1.0,0.9877,160
LSTM,macro_avg,0.5202,0.5797,0.5155,640
LSTM,weighted_avg,0.5202,0.5797,0.5155,640
LSTM,t_no_thrust,1.0,32.0,126.0,1
LSTM,t_chemical,6.0,79.0,72.0,3
LSTM,t_electric,0.0,29.0,131.0,0
LSTM,t_impulsive,0.0,0.0,0.0,160
Mamba,no_thrust,0.3571,0.2812,0.3147,160
Mamba,chemical,0.4498,0.5875,0.5095,160
Mamba,electric,0.3767,0.3438,0.3595,160
Mamba,impulsive,0.9937,0.9875,0.9906,160
Mamba,macro_avg,0.5443,0.55,0.5436,640
Mamba,weighted_avg,0.5443,0.55,0.5436,640
Mamba,t_no_thrust,45.0,61.0,53.0,1
Mamba,t_chemical,28.0,94.0,38.0,0
Mamba,t_electric,51.0,54.0,55.0,0
Mamba,t_impulsive,2.0,0.0,0.0,158
Transformer,no_thrust,0.3295,0.3625,0.3452,160
Transformer,chemical,0.3988,0.4062,0.4025,160
Transformer,electric,0.3617,0.3187,0.3389,160
Transformer,impulsive,0.9688,0.9688,0.9688,160
Transformer,macro_avg,0.5147,0.5141,0.5138,640
Transformer,weighted_avg,0.5147,0.5141,0.5138,640
Transformer,t_no_thrust,58.0,45.0,55.0,2
Transformer,t_chemical,58.0,65.0,35.0,2
Transformer,t_electric,60.0,48.0,51.0,1
Transformer,t_impulsive,0.0,5.0,0.0,155
MLP,0,0.3221,0.3,0.3107,160
MLP,1,0.3647,0.3875,0.3758,160
MLP,2,0.3292,0.3312,0.3302,160
MLP,3,1.0,1.0,1.0,160
MLP,macro_avg,0.504,0.5047,0.5042,640
MLP,weighted_avg,0.504,0.5047,0.5042,640
MLP,t_no_thrust,48.0,54.0,58.0,0
MLP,t_chemical,48.0,62.0,50.0,0
MLP,t_electric,53.0,54.0,53.0,0
MLP,t_impulsive,0.0,0.0,0.0,160
