Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.6634,0.9022,0.7646,225
Decision Trees (LightGBM),chemical,0.9911,0.9867,0.9889,225
Decision Trees (LightGBM),electric,0.4233,0.4044,0.4136,225
Decision Trees (LightGBM),impulsive,0.6258,0.4311,0.5105,225
Decision Trees (LightGBM),macro_avg,0.6759,0.6811,0.6694,900
Decision Trees (LightGBM),weighted_avg,0.6759,0.6811,0.6694,900
Decision Trees (LightGBM),t_no_thrust,203.0,0.0,17.0,5
Decision Trees (LightGBM),t_chemical,0.0,222.0,1.0,2
Decision Trees (LightGBM),t_electric,83.0,0.0,91.0,51
Decision Trees (LightGBM),t_impulsive,20.0,2.0,106.0,97
MiniRocket,no_thrust,0.9783,1.0,0.989,225
MiniRocket,chemical,1.0,1.0,1.0,225
MiniRocket,electric,1.0,1.0,1.0,225
MiniRocket,impulsive,1.0,0.9778,0.9888,225
MiniRocket,macro_avg,0.9946,0.9944,0.9944,900
MiniRocket,weighted_avg,0.9946,0.9944,0.9944,900
MiniRocket,t_no_thrust,225.0,0.0,0.0,0
MiniRocket,t_chemical,0.0,225.0,0.0,0
MiniRocket,t_electric,0.0,0.0,225.0,0
MiniRocket,t_impulsive,5.0,0.0,0.0,220
LSTM,no_thrust,0.3197,0.6933,0.4376,225
LSTM,chemical,0.8728,0.8844,0.8786,225
LSTM,electric,0.32,0.1067,0.16,225
LSTM,impulsive,0.3486,0.1689,0.2275,225
LSTM,macro_avg,0.4653,0.4633,0.4259,900
LSTM,weighted_avg,0.4653,0.4633,0.4259,900
LSTM,t_no_thrust,156.0,9.0,26.0,34
LSTM,t_chemical,18.0,199.0,5.0,3
LSTM,t_electric,159.0,8.0,24.0,34
LSTM,t_impulsive,155.0,12.0,20.0,38
Mamba,no_thrust,0.652,0.7911,0.7149,225
Mamba,chemical,0.9956,1.0,0.9978,225
Mamba,electric,0.55,0.2933,0.3826,225
Mamba,impulsive,0.5943,0.7422,0.6601,225
Mamba,macro_avg,0.698,0.7067,0.6888,900
Mamba,weighted_avg,0.698,0.7067,0.6888,900
Mamba,t_no_thrust,178.0,0.0,21.0,26
Mamba,t_chemical,0.0,225.0,0.0,0
Mamba,t_electric,71.0,0.0,66.0,88
Mamba,t_impulsive,24.0,1.0,33.0,167
Transformer,no_thrust,1.0,1.0,1.0,225
Transformer,chemical,1.0,1.0,1.0,225
Transformer,electric,0.9861,0.9467,0.966,225
Transformer,impulsive,0.9487,0.9867,0.9673,225
Transformer,macro_avg,0.9837,0.9833,0.9833,900
Transformer,weighted_avg,0.9837,0.9833,0.9833,900
Transformer,t_no_thrust,225.0,0.0,0.0,0
Transformer,t_chemical,0.0,225.0,0.0,0
Transformer,t_electric,0.0,0.0,213.0,12
Transformer,t_impulsive,0.0,0.0,3.0,222
1D-CNN (InceptionTime),no_thrust,0.9956,0.9956,0.9956,225
1D-CNN (InceptionTime),chemical,1.0,1.0,1.0,225
1D-CNN (InceptionTime),electric,1.0,1.0,1.0,225
1D-CNN (InceptionTime),impulsive,0.9956,0.9956,0.9956,225
1D-CNN (InceptionTime),macro_avg,0.9978,0.9978,0.9978,900
1D-CNN (InceptionTime),weighted_avg,0.9978,0.9978,0.9978,900
1D-CNN (InceptionTime),t_no_thrust,224.0,0.0,0.0,1
1D-CNN (InceptionTime),t_chemical,0.0,225.0,0.0,0
1D-CNN (InceptionTime),t_electric,0.0,0.0,225.0,0
1D-CNN (InceptionTime),t_impulsive,1.0,0.0,0.0,224
