Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.877,0.9822,0.9266,225
Decision Trees (LightGBM),chemical,0.5368,0.3244,0.4044,225
Decision Trees (LightGBM),electric,0.7417,0.7911,0.7656,225
Decision Trees (LightGBM),impulsive,0.6434,0.7778,0.7042,225
Decision Trees (LightGBM),macro_avg,0.6997,0.7189,0.7002,900
Decision Trees (LightGBM),weighted_avg,0.6997,0.7189,0.7002,900
Decision Trees (LightGBM),t_no_thrust,221.0,0.0,4.0,0
Decision Trees (LightGBM),t_chemical,2.0,73.0,55.0,95
Decision Trees (LightGBM),t_electric,29.0,16.0,178.0,2
Decision Trees (LightGBM),t_impulsive,0.0,47.0,3.0,175
MiniRocket,no_thrust,0.9956,1.0,0.9978,225
MiniRocket,chemical,1.0,1.0,1.0,225
MiniRocket,electric,1.0,0.9956,0.9978,225
MiniRocket,impulsive,1.0,1.0,1.0,225
MiniRocket,macro_avg,0.9989,0.9989,0.9989,900
MiniRocket,weighted_avg,0.9989,0.9989,0.9989,900
MiniRocket,t_no_thrust,225.0,0.0,0.0,0
MiniRocket,t_chemical,0.0,225.0,0.0,0
MiniRocket,t_electric,1.0,0.0,224.0,0
MiniRocket,t_impulsive,0.0,0.0,0.0,225
LSTM,no_thrust,0.9912,0.9956,0.9933,225
LSTM,chemical,0.9911,0.9911,0.9911,225
LSTM,electric,1.0,0.9956,0.9978,225
LSTM,impulsive,0.9956,0.9956,0.9956,225
LSTM,macro_avg,0.9945,0.9944,0.9944,900
LSTM,weighted_avg,0.9945,0.9944,0.9944,900
LSTM,t_no_thrust,224.0,1.0,0.0,0
LSTM,t_chemical,1.0,223.0,0.0,1
LSTM,t_electric,1.0,0.0,224.0,0
LSTM,t_impulsive,0.0,1.0,0.0,224
Mamba,no_thrust,0.9522,0.9733,0.9626,225
Mamba,chemical,0.5053,0.4267,0.4627,225
Mamba,electric,0.7705,0.8356,0.8017,225
Mamba,impulsive,0.6314,0.6622,0.6464,225
Mamba,macro_avg,0.7148,0.7244,0.7184,900
Mamba,weighted_avg,0.7148,0.7244,0.7184,900
Mamba,t_no_thrust,219.0,0.0,6.0,0
Mamba,t_chemical,0.0,96.0,44.0,85
Mamba,t_electric,11.0,24.0,188.0,2
Mamba,t_impulsive,0.0,70.0,6.0,149
Transformer,no_thrust,0.9956,1.0,0.9978,225
Transformer,chemical,0.96,0.4267,0.5908,225
Transformer,electric,0.9528,0.9867,0.9694,225
Transformer,impulsive,0.654,0.9911,0.788,225
Transformer,macro_avg,0.8906,0.8511,0.8365,900
Transformer,weighted_avg,0.8906,0.8511,0.8365,900
Transformer,t_no_thrust,225.0,0.0,0.0,0
Transformer,t_chemical,0.0,96.0,11.0,118
Transformer,t_electric,1.0,2.0,222.0,0
Transformer,t_impulsive,0.0,2.0,0.0,223
1D-CNN (InceptionTime),no_thrust,0.9956,1.0,0.9978,225
1D-CNN (InceptionTime),chemical,0.9956,1.0,0.9978,225
1D-CNN (InceptionTime),electric,1.0,0.9911,0.9955,225
1D-CNN (InceptionTime),impulsive,1.0,1.0,1.0,225
1D-CNN (InceptionTime),macro_avg,0.9978,0.9978,0.9978,900
1D-CNN (InceptionTime),weighted_avg,0.9978,0.9978,0.9978,900
1D-CNN (InceptionTime),t_no_thrust,225.0,0.0,0.0,0
1D-CNN (InceptionTime),t_chemical,0.0,225.0,0.0,0
1D-CNN (InceptionTime),t_electric,1.0,1.0,223.0,0
1D-CNN (InceptionTime),t_impulsive,0.0,0.0,0.0,225
