Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.2519,0.2889,0.2692,225
Decision Trees (LightGBM),chemical,0.2445,0.2489,0.2467,225
Decision Trees (LightGBM),electric,0.2526,0.2178,0.2339,225
Decision Trees (LightGBM),impulsive,0.2557,0.2489,0.2523,225
Decision Trees (LightGBM),macro_avg,0.2512,0.2511,0.2505,900
Decision Trees (LightGBM),weighted_avg,0.2512,0.2511,0.2505,900
Decision Trees (LightGBM),t_no_thrust,65.0,57.0,49.0,54
Decision Trees (LightGBM),t_chemical,66.0,56.0,48.0,55
Decision Trees (LightGBM),t_electric,65.0,57.0,49.0,54
Decision Trees (LightGBM),t_impulsive,62.0,59.0,48.0,56
MiniRocket,no_thrust,0.35,0.4356,0.3881,225
MiniRocket,chemical,0.3719,0.3289,0.3491,225
MiniRocket,electric,0.3462,0.24,0.2835,225
MiniRocket,impulsive,0.7057,0.8311,0.7633,225
MiniRocket,macro_avg,0.4434,0.4589,0.446,900
MiniRocket,weighted_avg,0.4434,0.4589,0.446,900
MiniRocket,t_no_thrust,98.0,54.0,52.0,21
MiniRocket,t_chemical,75.0,74.0,40.0,36
MiniRocket,t_electric,97.0,53.0,54.0,21
MiniRocket,t_impulsive,10.0,18.0,10.0,187
LSTM,no_thrust,0.0,0.0,0.0,225
LSTM,chemical,0.0,0.0,0.0,225
LSTM,electric,0.0,0.0,0.0,225
LSTM,impulsive,0.25,1.0,0.4,225
LSTM,macro_avg,0.0625,0.25,0.1,900
LSTM,weighted_avg,0.0625,0.25,0.1,900
LSTM,t_no_thrust,0.0,0.0,0.0,225
LSTM,t_chemical,0.0,0.0,0.0,225
LSTM,t_electric,0.0,0.0,0.0,225
LSTM,t_impulsive,0.0,0.0,0.0,225
Mamba,no_thrust,0.25,0.2178,0.2328,225
Mamba,chemical,0.25,0.2756,0.2622,225
Mamba,electric,0.25,0.0533,0.0879,225
Mamba,impulsive,0.25,0.4533,0.3223,225
Mamba,macro_avg,0.25,0.25,0.2263,900
Mamba,weighted_avg,0.25,0.25,0.2263,900
Mamba,t_no_thrust,49.0,62.0,12.0,102
Mamba,t_chemical,49.0,62.0,12.0,102
Mamba,t_electric,49.0,62.0,12.0,102
Mamba,t_impulsive,49.0,62.0,12.0,102
Transformer,no_thrust,0.0,0.0,0.0,225
Transformer,chemical,0.0,0.0,0.0,225
Transformer,electric,0.25,1.0,0.4,225
Transformer,impulsive,0.0,0.0,0.0,225
Transformer,macro_avg,0.0625,0.25,0.1,900
Transformer,weighted_avg,0.0625,0.25,0.1,900
Transformer,t_no_thrust,0.0,0.0,225.0,0
Transformer,t_chemical,0.0,0.0,225.0,0
Transformer,t_electric,0.0,0.0,225.0,0
Transformer,t_impulsive,0.0,0.0,225.0,0
1D-CNN (InceptionTime),no_thrust,0.0,0.0,0.0,225
1D-CNN (InceptionTime),chemical,0.0,0.0,0.0,225
1D-CNN (InceptionTime),electric,0.25,0.68,0.3656,225
1D-CNN (InceptionTime),impulsive,0.25,0.32,0.2807,225
1D-CNN (InceptionTime),macro_avg,0.125,0.25,0.1616,900
1D-CNN (InceptionTime),weighted_avg,0.125,0.25,0.1616,900
1D-CNN (InceptionTime),t_no_thrust,0.0,0.0,153.0,72
1D-CNN (InceptionTime),t_chemical,0.0,0.0,153.0,72
1D-CNN (InceptionTime),t_electric,0.0,0.0,153.0,72
1D-CNN (InceptionTime),t_impulsive,0.0,0.0,153.0,72
