Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.2586,0.3022,0.2787,225
Decision Trees (LightGBM),chemical,0.2575,0.2667,0.262,225
Decision Trees (LightGBM),electric,0.2489,0.2533,0.2511,225
Decision Trees (LightGBM),impulsive,0.2514,0.1956,0.22,225
Decision Trees (LightGBM),macro_avg,0.2541,0.2544,0.2529,900
Decision Trees (LightGBM),weighted_avg,0.2541,0.2544,0.2529,900
Decision Trees (LightGBM),t_no_thrust,68.0,57.0,56.0,44
Decision Trees (LightGBM),t_chemical,64.0,60.0,59.0,42
Decision Trees (LightGBM),t_electric,66.0,57.0,57.0,45
Decision Trees (LightGBM),t_impulsive,65.0,59.0,57.0,44
MiniRocket,no_thrust,0.2664,0.2533,0.2597,225
MiniRocket,chemical,0.2638,0.1911,0.2216,225
MiniRocket,electric,0.2523,0.12,0.1627,225
MiniRocket,impulsive,0.2837,0.5244,0.3682,225
MiniRocket,macro_avg,0.2665,0.2722,0.253,900
MiniRocket,weighted_avg,0.2665,0.2722,0.253,900
MiniRocket,t_no_thrust,57.0,42.0,27.0,99
MiniRocket,t_chemical,52.0,43.0,30.0,100
MiniRocket,t_electric,56.0,43.0,27.0,99
MiniRocket,t_impulsive,49.0,35.0,23.0,118
LSTM,no_thrust,0.0,0.0,0.0,225
LSTM,chemical,0.0,0.0,0.0,225
LSTM,electric,0.25,0.0044,0.0087,225
LSTM,impulsive,0.25,0.9956,0.3996,225
LSTM,macro_avg,0.125,0.25,0.1021,900
LSTM,weighted_avg,0.125,0.25,0.1021,900
LSTM,t_no_thrust,0.0,0.0,1.0,224
LSTM,t_chemical,0.0,0.0,1.0,224
LSTM,t_electric,0.0,0.0,1.0,224
LSTM,t_impulsive,0.0,0.0,1.0,224
Mamba,no_thrust,0.25,0.0889,0.1311,225
Mamba,chemical,0.25,0.3067,0.2754,225
Mamba,electric,0.25,0.0844,0.1262,225
Mamba,impulsive,0.25,0.52,0.3377,225
Mamba,macro_avg,0.25,0.25,0.2176,900
Mamba,weighted_avg,0.25,0.25,0.2176,900
Mamba,t_no_thrust,20.0,69.0,19.0,117
Mamba,t_chemical,20.0,69.0,19.0,117
Mamba,t_electric,20.0,69.0,19.0,117
Mamba,t_impulsive,20.0,69.0,19.0,117
Transformer,no_thrust,0.0,0.0,0.0,225
Transformer,chemical,0.0,0.0,0.0,225
Transformer,electric,0.25,1.0,0.4,225
Transformer,impulsive,0.0,0.0,0.0,225
Transformer,macro_avg,0.0625,0.25,0.1,900
Transformer,weighted_avg,0.0625,0.25,0.1,900
Transformer,t_no_thrust,0.0,0.0,225.0,0
Transformer,t_chemical,0.0,0.0,225.0,0
Transformer,t_electric,0.0,0.0,225.0,0
Transformer,t_impulsive,0.0,0.0,225.0,0
1D-CNN (InceptionTime),no_thrust,0.0,0.0,0.0,225
1D-CNN (InceptionTime),chemical,0.0,0.0,0.0,225
1D-CNN (InceptionTime),electric,0.25,1.0,0.4,225
1D-CNN (InceptionTime),impulsive,0.0,0.0,0.0,225
1D-CNN (InceptionTime),macro_avg,0.0625,0.25,0.1,900
1D-CNN (InceptionTime),weighted_avg,0.0625,0.25,0.1,900
1D-CNN (InceptionTime),t_no_thrust,0.0,0.0,225.0,0
1D-CNN (InceptionTime),t_chemical,0.0,0.0,225.0,0
1D-CNN (InceptionTime),t_electric,0.0,0.0,225.0,0
1D-CNN (InceptionTime),t_impulsive,0.0,0.0,225.0,0
